county,election_year,afd_local_vote_share,afd_local_ran,total_local_munis_cty,afd_local_ran_prop,total_local_eligible_voters_cty
1001,2013,,0,5,0,355292
1001,2017,,0,1,0,76827
1002,2013,,0,5,0,942618
1002,2017,0.0593658520171828,1,1,1,196334
1003,2013,,0,5,0,865214
1003,2017,0.0507299758907045,1,1,1,175725
1004,2013,,0,5,0,319899
1004,2017,,0,1,0,64839
1051,2017,,0,111,0,111539
1053,2017,,0,128,0,160400
1054,2017,0.0362087326943557,1,125,0.0462895518909155,137288
1055,2017,,0,36,0,173624
1056,2017,,0,49,0,255296
1057,2017,,0,85,0,108709
1058,2017,,0,162,0,227130
1059,2017,,0,125,0,166394
1060,2017,0.0490290019711251,2,94,0.363534475829858,223954
1061,2017,,0,106,0,109192
1062,2017,,0,54,0,198549
2000,2013,0.060857534509675,1,8,0.13098238375437,9920502
2000,2021,0.0530000177236179,1,1,1,1316691
3101,2013,,0,5,0,994647
3101,2017,0.0894342990945606,1,1,1,202232
3102,2013,,0,5,0,421741
3102,2017,,0,1,0,79203
3103,2013,,0,5,0,495212
3103,2017,0.105387826938473,1,1,1,100818
3151,2013,,0,205,0,642128
3151,2017,0.103154856556065,2,41,0.299013407538578,142308
3153,2013,,0,35,0,622760
3153,2017,0.101431315112708,4,7,0.696505846807547,114849
3154,2013,,0,115,0,398529
3154,2017,0.0862951705905866,1,23,0.280705839737121,77298
3155,2013,,0,55,0,601667
3155,2017,0.0631477388175876,6,11,0.709421423332185,113157
3157,2013,,0,35,0,513002
3157,2017,0.0840071005414407,4,7,0.441867162099396,107650
3158,2013,,0,160,0,493694
3158,2017,0.107542187184289,2,32,0.440016291013122,100669
3159,2013,,0,195,0,1362889
3159,2017,0.0893848555143854,2,39,0.0555732216007931,267305
3241,2013,,0,105,0,4317260
3241,2017,0.0925562376471086,16,21,0.885563609053688,908094
3251,2013,,0,225,0,828019
3251,2017,,0,45,0,177996
3252,2013,,0,40,0,635477
3252,2017,0.0715873820244197,4,8,0.620677043117812,123035
3254,2013,,0,100,0,1144902
3254,2017,0.0913104175270371,2,20,0.396776729905077,227657
3255,2013,,0,160,0,323697
3255,2017,,0,32,0,58867
3256,2013,,0,180,0,489041
3256,2017,,0,36,0,99224
3257,2013,,0,190,0,642242
3257,2017,,0,38,0,130614
3351,2013,,0,101,0,703542
3351,2017,0.101374237593345,6,21,0.666513664047353,145967
3352,2013,,0,145,0,808951
3352,2017,0.0865854423586193,5,29,0.562825615050651,165840
3353,2013,,0,210,0,908713
3353,2017,0.0947365265341503,5,42,0.598918272107215,208925
3354,2013,,0,135,0,207849
3354,2017,,0,27,0,41118
3355,2013,,0,215,0,646019
3355,2017,0.0895979241624155,2,43,0.418269526839782,146145
3356,2013,,0,55,0,430354
3356,2017,,0,11,0,93064
3357,2013,,0,285,0,624624
3357,2017,0.0684946551471665,1,57,0.134661727954302,134448
3358,2013,,0,111,0,540278
3358,2017,0.0832760625831732,5,23,0.599491800702049,114522
3359,2013,,0,200,0,747989
3359,2017,0.0958366064414768,1,40,0.198841500613074,165559
3360,2013,,0,135,0,391044
3360,2017,,0,27,0,78335
3361,2013,,0,54,0,509589
3361,2017,0.104678024833959,1,11,0.117429441439804,110015
3401,2013,,0,5,0,297147
3401,2017,0.151538212031238,1,1,1,62091
3402,2013,,0,5,0,201717
3402,2017,,0,1,0,41125
3403,2013,,0,5,0,609154
3403,2017,0.0476103664328686,1,1,1,133010
3404,2013,,0,5,0,619403
3404,2017,,0,1,0,131077
3405,2013,,0,5,0,346347
3405,2017,0.113315586461672,1,1,1,65323
3451,2013,,0,30,0,434874
3451,2017,,0,6,0,101073
3452,2013,,0,120,0,738084
3452,2017,0.0834692364714604,1,24,0.0244370089101094,159594
3453,2013,,0,65,0,551235
3453,2017,0.0734344100197759,1,13,0.0814976786442975,129881
3454,2013,,0,300,0,1144160
3454,2017,0.0617299399017747,4,60,0.164836765675556,260852
3455,2013,,0,40,0,398461
3455,2017,,0,8,0,83290
3456,2013,,0,125,0,500771
3456,2017,,0,25,0,111210
3457,2013,,0,95,0,626659
3457,2017,0.0735430634347602,1,19,0.0947117923197662,138251
3458,2013,,0,75,0,467201
3458,2017,0.0885791366906475,1,15,0.116906558490496,107479
3459,2013,,0,170,0,1335069
3459,2017,0.0431855119572789,1,34,0.025769422439125,290965
3460,2013,,0,50,0,462874
3460,2017,0.0534474170323726,5,10,0.593229573397744,110126
3461,2013,,0,45,0,365509
3461,2017,,0,9,0,73706
3462,2013,,0,95,0,224307
3462,2017,0.046473900181315,1,19,0.127280343491465,47745
4011,2013,0.0559473282949806,1,7,0.142162508853277,2840756
4011,2017,0.0564554540377739,1,1,1,394110
4012,2013,0.0496965977618997,1,7,0.134199980451569,624091
4012,2017,0.0907424606509123,1,1,1,81372
5111,2013,0.0299318836782814,1,5,0.210472065129187,2239119
5111,2021,0.0357808301837559,1,1,1,470511
5112,2013,0.0353949533735601,1,5,0.196115065991079,1863661
5112,2021,0.0928906557788045,1,1,1,360750
5113,2013,0.0375300479304107,1,5,0.196242507020044,2331182
5113,2021,0.0745793178738142,1,1,1,446384
5114,2013,0.0425262795952451,1,5,0.20389051248428,893764
5114,2021,0.054069725302602,1,1,1,180491
5116,2013,0.0144910973463464,1,5,0.203337504728067,1028433
5116,2021,0.0594391429600288,1,1,1,207117
5117,2013,0.0524445922655943,1,5,0.197225191486852,678245
5117,2021,0.0717596539910397,1,1,1,130571
5119,2013,,0,5,0,840857
5119,2021,0.0760527776065109,1,1,1,159449
5120,2013,,0,5,0,445024
5120,2021,0.00969769205764438,1,1,1,85783
5122,2013,0.0297319015267733,1,5,0.204205697730565,621300
5122,2021,0.0504588756673762,1,1,1,126301
5124,2013,0.024289207938911,1,5,0.197561839154818,1372674
5124,2021,0.0611095328923339,1,1,1,265748
5154,2013,,0,80,0,1178061
5154,2021,0.0373633908433242,7,16,0.572026329404567,264799
