county,isei_combined_2015
1001,0.0777159
1002,0.0773976
1003,-0.1377682
1004,-0.2402882
1051,-0.4415769
1053,-0.1541463
1054,-0.1788477
1055,0.2532308
1056,0.3053821
1057,0.4067993
1058,-0.1660881
1059,-0.1750555
1060,0.0835654
1061,-0.3440596
1062,0.3934111
2000,0.37716
3101,0.6054225
3102,-0.450381
3103,-0.43889
3151,-0.152789
3153,-0.4201542
3154,-0.5257734
3155,-0.057298
3157,0.0621413
3158,-0.1223972
3159,0.1119563
3241,0.2691505
3251,-0.1190466
3252,0.1992638
3254,0.3669412
3255,-0.1449695
3256,0.0869703
3257,-0.2885421
3351,-0.2817529
3352,-0.0557608
3353,0.31629
3354,-0.5361568
3355,0.2183979
3356,0.1384594
3357,0.0193924
3358,-0.3444386
3359,-0.1781833
3360,-0.2238845
3361,0.143602
3401,-0.3524641
3402,-1.177841
3403,-0.0064896
3404,-0.0455511
3405,-0.2791091
3451,-0.4253533
3452,-0.3540008
3453,-0.5907084
3454,-0.2625807
3455,0.2591959
3456,-0.236465
3457,0.2460581
3458,-0.114218
3459,-0.1916005
3460,-0.3018587
3461,0.1965409
3462,-0.498807
4011,-0.0933877
4012,-0.0683624
5111,0.4677753
5112,-0.2576629
5113,0.2158458
5114,0.045126
5116,-0.0194133
5117,-0.2821679
5119,-0.2622114
5120,-0.008471
5122,-0.0876485
5124,0.02325
5154,-0.1812496
5158,-0.0119592
5162,0.3589278
5166,-0.2655194
5170,0.078304
5314,0.5080616
5315,0.1390932
5316,-0.0182269
5334,0.2989873
5358,0.2366085
5362,-0.1315866
5366,-0.1231643
5370,-0.0493019
5374,-0.1121583
5378,-0.000849
5382,0.0700479
5512,-0.3386268
5513,-0.2335996
5515,0.0220816
5554,-0.356179
5558,0.06499
5562,0.0406889
5566,-0.2988349
5570,-0.2076363
5711,-0.4054913
5754,-0.4426329
5758,-0.3319162
5762,-0.1755243
5766,-0.1470964
5770,-0.1055899
5774,-0.3549688
5911,0.0817408
5913,0.0164283
5914,-0.3335158
