county,n_crimes_2015,anti_refugee_violence_2015,anti_refugee_violence_crimeratio,anti_refugee_violence_popratio
01001,10828,2,0.18470631695604,0.232828870779977
01002,26078,4,0.153385995858578,0.162403572878603
01003,22881,6,0.26222630129802,0.277392510402219
01004,17418,1,0.0574118727752899,0.126262626262626
01051,7345,1,0.136147038801906,0.0752445447705041
01053,10615,3,0.282618935468676,0.155440414507772
01054,8938,1,0.111881852763482,0.0609756097560976
01055,13543,1,0.0738388835560806,0.0501002004008016
01056,19779,1,0.0505586733404116,0.032520325203252
01057,5850,1,0.170940170940171,0.0779423226812159
01058,13195,3,0.227358848048503,0.11094674556213
01059,9721,1,0.102870075095155,0.0508130081300813
01060,15252,1,0.0655651717807501,0.0373831775700935
01061,7380,0,0,0
01062,13775,3,0.217785843920145,0.125208681135225
02000,243313,24,0.0986383793714269,0.134273246055723
03101,25497,0,0,0
03102,6379,0,0,0
03103,9606,0,0,0
03151,7756,1,0.128932439401753,0.0574052812858783
03153,9687,3,0.309693403530505,0.217076700434153
03154,5949,0,0,0
03155,7589,1,0.131769666622743,0.0741289844329133
03157,6547,2,0.305483427524057,0.151171579743008
03158,4841,3,0.61970667217517,0.247933884297521
03159,25827,0,0,0
03241,121119,17,0.140357829902823,0.148536478811708
03251,11834,5,0.422511407808011,0.233644859813084
03252,9560,1,0.104602510460251,0.0674308833445718
03254,17443,1,0.0573295878002637,0.0360880548538434
03255,3643,0,0,0
03256,6345,0,0,0
03257,9520,1,0.105042016806723,0.0640204865556978
03351,13279,3,0.225920626553204,0.168539325842697
03352,10404,2,0.192233756247597,0.100959111559818
03353,14639,13,0.888038800464513,0.523982265215639
03354,2785,1,0.359066427289048,0.199600798403194
03355,13130,4,0.304645849200305,0.221361372440509
03356,6207,1,0.161108425970678,0.0880281690140845
03357,10205,1,0.0979911807937286,0.0612369871402327
03358,11248,3,0.266714082503556,0.213827512473272
03359,11825,6,0.507399577167019,0.299850074962519
03360,6066,2,0.329706561160567,0.214822771213749
03361,8690,4,0.46029919447641,0.297176820208024
03401,6609,0,0,0
03402,4598,0,0,0
03403,14598,2,0.13700506918756,0.122100122100122
03404,17756,0,0,0
03405,10180,1,0.0982318271119843,0.131578947368421
03451,5013,0,0,0
03452,11174,5,0.447467334884553,0.264270613107822
03453,7787,1,0.128419160138693,0.0607164541590771
03454,18328,2,0.109122653862942,0.0625978090766823
03455,5612,1,0.178189593727726,0.102145045965271
03456,8309,0,0,0
03457,9934,0,0,0
03458,6341,0,0,0
03459,23864,1,0.0419041233657392,0.0279251605696733
03460,7214,1,0.138619351261436,0.0725163161711385
03461,4967,0,0,0
03462,3306,1,0.302480338777979,0.174825174825175
04011,76978,2,0.0259814492452389,0.0358744394618834
04012,14091,0,0,0
05111,84260,3,0.0356040826014716,0.0490035935968638
05112,55604,4,0.0719372706999497,0.0814332247557003
05113,66407,7,0.105410574186456,0.120151047030553
05114,22965,2,0.0870890485521446,0.0888494002665482
