county,year,share_manufacturing_regstat,working_population_regstat,manufacturing_regstat
1001,2001,15.669014084507,56800,8900
1001,2002,15.2173913043478,55200,8400
1001,2003,15.1571164510166,54100,8200
1001,2004,14.7388059701493,53600,7900
1001,2005,13.9705882352941,54400,7600
1001,2006,13.1672597864769,56200,7400
1001,2007,12.6537785588752,56900,7200
1001,2008,11.7750439367311,56900,6700
1001,2009,10.6007067137809,56600,6000
1001,2010,9.80392156862745,56100,5500
1001,2011,9.31899641577061,55800,5200
1001,2012,9.6085409252669,56200,5400
1001,2013,9.80735551663748,57100,5600
1001,2014,9.68858131487889,57800,5600
1001,2015,9.55631399317406,58600,5600
1001,2016,9.5959595959596,59400,5700
1001,2017,9.68280467445743,59900,5800
1001,2018,9.67213114754098,61000,5900
1001,2019,9.74025974025974,61600,6000
1001,2020,9.64052287581699,61200,5900
1002,2001,9.96119016817594,154600,15400
1002,2002,9.86928104575163,153000,15100
1002,2003,9.66887417218543,151000,14600
1002,2004,9.43271767810026,151600,14300
1002,2005,8.83322346736981,151700,13400
1002,2006,8.3495145631068,154500,12900
1002,2007,8.31202046035806,156400,13000
1002,2008,8.39116719242902,158500,13300
1002,2009,8.34378920953576,159400,13300
1002,2010,8.17610062893082,159000,13000
1002,2011,8.04239401496259,160400,12900
1002,2012,7.99752014879107,161300,12900
1002,2013,8.20073439412485,163400,13400
1002,2014,8.15347721822542,166800,13600
1002,2015,8.12574139976275,168600,13700
1002,2016,8.0188679245283,169600,13600
1002,2017,8.05134189031505,171400,13800
1002,2018,8.13148788927336,173400,14100
1002,2019,8.30961866818441,175700,14600
1002,2020,8.69565217391304,174800,15200
1003,2001,13.2825719120135,118200,15700
1003,2002,13.4302822925577,116900,15700
1003,2003,13.0509939498704,115700,15100
1003,2004,12.7622377622378,114400,14600
1003,2005,12.4448367166814,113300,14100
1003,2006,12.2077922077922,115500,14100
1003,2007,12.3194562446899,117700,14500
1003,2008,12.5516102394715,121100,15200
1003,2009,12.3762376237624,121200,15000
1003,2010,11.9512195121951,123000,14700
1003,2011,11.7977528089888,124600,14700
1003,2012,11.8347895154885,125900,14900
1003,2013,12.1261115602264,123700,15000
1003,2014,12.214983713355,122800,15000
1003,2015,12.5506072874494,123500,15500
1003,2016,12.7490039840637,125500,16000
1003,2017,13.125,128000,16800
1003,2018,13.302752293578,130800,17400
1003,2019,13.4485349361382,133100,17900
1003,2020,13.5440180586907,132900,18000
1004,2001,16.9164882226981,46700,7900
1004,2002,16.304347826087,46000,7500
1004,2003,15.7079646017699,45200,7100
1004,2004,15.1785714285714,44800,6800
1004,2005,14.7392290249433,44100,6500
1004,2006,14.0589569160998,44100,6200
1004,2007,13.5857461024499,44900,6100
1004,2008,13.3620689655172,46400,6200
1004,2009,12.5,47200,5900
1004,2010,12.0762711864407,47200,5700
1004,2011,12.1085594989562,47900,5800
1004,2012,11.9246861924686,47800,5700
1004,2013,11.6424116424116,48100,5600
