county,year,gdp_pc_ardeco
8111,1980,20210.11
8111,1981,21545.06
8111,1982,24120.21
8111,1983,26864.23
8111,1984,28999.16
8111,1985,30962.38
8111,1986,35355.74
8111,1987,38522.74
8111,1988,40023.55
8111,1989,42770.93
8111,1990,45966.15
8111,1991,45697.99
8111,1992,49821.73
8111,1993,53006.13
8111,1994,55997.24
8111,1995,56158.13
8111,1996,56219.92
8111,1997,57316.91
8111,1998,56135.63
8111,1999,58777.67
8111,2000,61718.35
8111,2001,67057.77
8111,2002,69207.96
8111,2003,71641.29
8111,2004,70877.65
8111,2005,68956.28
8111,2006,74175.02
8111,2007,77244.09
8111,2008,72737.31
8111,2009,66129.63
8111,2010,73204.84
8111,2011,76531.07
8111,2012,78352.12
8111,2013,78215.38
8111,2014,79823.3
8111,2015,84872.77
8111,2016,83716.96
8111,2017,87085.99
8111,2018,91840.66
8111,2019,90514.53
8111,2020,85179.27
8111,2021,90253.85
8111,2022,96210.25
8111,2023,101450.46
8111,2024,105076.15
8115,1980,10367.28
8115,1981,11257.39
8115,1982,12665.37
8115,1983,14310.19
8115,1984,15601.67
8115,1985,16873.63
8115,1986,19572.21
8115,1987,21081.17
8115,1988,22412.94
8115,1989,24385.32
8115,1990,26648.32
8115,1991,27005.85
8115,1992,30073.98
8115,1993,32502.34
8115,1994,34625.94
8115,1995,34815.97
8115,1996,34386.28
8115,1997,38293.89
8115,1998,37582.56
8115,1999,39779.56
8115,2000,38577.61
8115,2001,42159.62
8115,2002,40257.09
8115,2003,40914.28
8115,2004,39520.49
8115,2005,35477.84
8115,2006,40729.27
8115,2007,48922.95
8115,2008,47334.96
8115,2009,39991.78
8115,2010,50052.53
8115,2011,53981.35
8115,2012,53627.07
8115,2013,56108.51
8115,2014,57641.83
8115,2015,63492.67
8115,2016,63433.43
8115,2017,66163.78
8115,2018,66760.73
8115,2019,62757.61
8115,2020,63111.06
8115,2021,66870.85
8115,2022,71284.2
8115,2023,75166.67
8115,2024,77852.98
8116,1980,10079.63
8116,1981,10721.22
8116,1982,11843.35
8116,1983,13128.01
8116,1984,14055.78
8116,1985,14910.93
8116,1986,16966.68
8116,1987,17970.67
8116,1988,18732.52
8116,1989,19987.37
8116,1990,21458.98
8116,1991,21400.08
8116,1992,23416.38
8116,1993,24808.27
8116,1994,25931.1
8116,1995,27114.92
8116,1996,27453.16
8116,1997,26863.22
8116,1998,28226.17
8116,1999,28731.94
8116,2000,29223.04
8116,2001,31177.42
8116,2002,29640.11
8116,2003,30287.14
8116,2004,30190.15
8116,2005,30207.52
8116,2006,32224.04
8116,2007,34191.53
8116,2008,35247.71
8116,2009,30730.41
8116,2010,33832.88
8116,2011,36028.89
8116,2012,37001.68
8116,2013,36781.09
8116,2014,38246.57
8116,2015,39964.05
8116,2016,40156.78
8116,2017,42522.01
8116,2018,43154.65
8116,2019,42980.99
8116,2020,41324.45
8116,2021,43786.31
8116,2022,46676.13
8116,2023,49218.35
8116,2024,50977.35
8117,1980,10907.4
8117,1981,11437.98
8117,1982,12454.09
8117,1983,13599.34
8117,1984,14297.44
8117,1985,14954.78
8117,1986,16781.9
8117,1987,17583.42
8117,1988,18054.97
8117,1989,18930.67
8117,1990,19881.1
8117,1991,19423.25
8117,1992,20845.85
8117,1993,21707.47
8117,1994,22099.82
8117,1995,22933
8117,1996,23332.82
8117,1997,22691.32
8117,1998,23338.11
8117,1999,23848.19
8117,2000,23626.49
8117,2001,23768.6
8117,2002,23911.29
8117,2003,24340.09
8117,2004,24134.3
8117,2005,23881.89
8117,2006,25112.82
8117,2007,26536.4
8117,2008,27291.3
8117,2009,24805.96
8117,2010,26583.29
8117,2011,27927.13
8117,2012,28534.5
8117,2013,29769.18
8117,2014,30971.06
8117,2015,32888.96
8117,2016,32701.8
8117,2017,33445.51
8117,2018,33699.92
8117,2019,33633.64
8117,2020,31884.43
8117,2021,33783.99
8117,2022,36013.59
8117,2023,37975.09
8117,2024,39332.23
8118,1980,9695.65
8118,1981,10342.94
8118,1982,11453.85
8118,1983,12728.03
8118,1984,13621.74
8118,1985,14436.79
8118,1986,16427.88
8118,1987,17285.28
8118,1988,18027.9
8118,1989,19227.02
8118,1990,20631.47
8118,1991,20535.79
8118,1992,22429.44
8118,1993,23697.75
8118,1994,24686.44
8118,1995,27024.89
8118,1996,26732.56
8118,1997,26374.74
8118,1998,27411.35
8118,1999,27910.92
8118,2000,29790.54
8118,2001,31417.26
8118,2002,31483.68
8118,2003,31438.68
8118,2004,31422.35
8118,2005,32042.11
8118,2006,34041.69
8118,2007,35905.59
8118,2008,36605.08
8118,2009,33427.98
8118,2010,36315.17
8118,2011,38062.17
8118,2012,39692.47
8118,2013,40626.23
8118,2014,41527.41
8118,2015,42670.73
8118,2016,44079.35
8118,2017,46178.3
8118,2018,47034.12
8118,2019,45982.1
8118,2020,43816.25
8118,2021,46426.62
8118,2022,49490.62
8118,2023,52186.13
8118,2024,54051.16
8119,1980,11120.25
8119,1981,11659.24
8119,1982,12662.8
8119,1983,13788.12
8119,1984,14471.88
8119,1985,15081.61
8119,1986,16870.41
8119,1987,17561.38
8119,1988,17995.91
8119,1989,18872.4
8119,1990,19893.44
8119,1991,19441.21
8119,1992,20873.69
8119,1993,21701.4
8119,1994,22269.71
8119,1995,24566.93
8119,1996,22708.68
8119,1997,22461.84
8119,1998,23031.46
8119,1999,24306.72
8119,2000,25672.96
8119,2001,25684.08
8119,2002,25706.76
8119,2003,25374.3
8119,2004,25798.46
8119,2005,25886.31
8119,2006,27795.19
8119,2007,28256.21
8119,2008,28731.38
8119,2009,26582.88
8119,2010,28496.48
8119,2011,30070.08
8119,2012,30232.11
8119,2013,30991.71
8119,2014,31879.76
8119,2015,32654.05
8119,2016,33198.85
8119,2017,34556.9
8119,2018,35732.12
8119,2019,36514.93
8119,2020,35748
8119,2021,37877.69
8119,2022,40377.48
8119,2023,42576.72
8119,2024,44098.28
8121,1980,15792.02
8121,1981,16555.42
8121,1982,18098.98
8121,1983,19756.26
8121,1984,20847.65
8121,1985,21735.72
8121,1986,24451.5
8121,1987,25811.9
8121,1988,26577.2
8121,1989,28017.86
8121,1990,29584.88
8121,1991,29099.59
8121,1992,31060.73
8121,1993,31894.34
8121,1994,32745.42
8121,1995,39593.29
8121,1996,39012.8
8121,1997,38344.36
8121,1998,47650.13
8121,1999,44844.61
8121,2000,45623.58
8121,2001,47144.11
8121,2002,45562.01
8121,2003,40954.23
8121,2004,41432.24
8121,2005,42287.45
8121,2006,44164.13
8121,2007,44582.39
8121,2008,45621.46
8121,2009,44421.08
8121,2010,47820.2
8121,2011,48399.36
8121,2012,48946.21
8121,2013,50238.39
8121,2014,51204.4
8121,2015,53413.86
8121,2016,52141.43
8121,2017,53575.3
8121,2018,56427.51
8121,2019,58828.4
8121,2020,56548.64
8121,2021,59917.38
8121,2022,63871.76
8121,2023,67350.52
8121,2024,69757.64
8125,1980,7962.53
8125,1981,8538.5
8125,1982,9438.66
8125,1983,10463.36
8125,1984,11187.84
8125,1985,11938.3
8125,1986,13686.82
8125,1987,14639.61
8125,1988,15351.51
8125,1989,16428.68
8125,1990,17536.07
8125,1991,17369.54
8125,1992,18877.57
8125,1993,19809.88
8125,1994,20489.96
8125,1995,23485.59
8125,1996,23569.98
8125,1997,23460.46
8125,1998,25126.77
8125,1999,25873.04
8125,2000,26717.71
8125,2001,27607.56
8125,2002,27195.75
8125,2003,28501.11
8125,2004,29100.56
8125,2005,30283.19
8125,2006,33961.45
8125,2007,35797.86
8125,2008,36867.24
8125,2009,34873.16
8125,2010,36998.58
8125,2011,40984.36
8125,2012,44320.88
8125,2013,48141.47
8125,2014,49885.09
8125,2015,51183.86
8125,2016,50855.85
8125,2017,54118.14
8125,2018,57624.15
8125,2019,60081.74
8125,2020,58352.16
8125,2021,61828.41
8125,2022,65909
8125,2023,69498.72
8125,2024,71982.46
8126,1980,11307.38
8126,1981,12041.44
8126,1982,13205.6
8126,1983,14497.68
8126,1984,15304.82
8126,1985,16128.37
8126,1986,18327.51
8126,1987,19414.01
8126,1988,20116.5
8126,1989,21261.69
8126,1990,22447.66
8126,1991,22051.92
8126,1992,23798.59
8126,1993,24676.52
8126,1994,25112.25
8126,1995,26424.2
8126,1996,26342.93
8126,1997,25816.11
8126,1998,27207.14
8126,1999,28718.91
8126,2000,28951.36
8126,2001,29630.76
8126,2002,29503.74
8126,2003,29559.28
8126,2004,30407.96
8126,2005,31358.53
8126,2006,33487.78
8126,2007,35922.71
8126,2008,36410.29
8126,2009,34662.09
8126,2010,36820.77
8126,2011,40024.43
8126,2012,41618.91
8126,2013,41892.09
8126,2014,43807.09
8126,2015,44587.03
8126,2016,46523
8126,2017,48446.78
8126,2018,50398.21
8126,2019,52693.85
8126,2020,52159.26
8126,2021,55266.76
8126,2022,58914.03
8126,2023,62122.92
8126,2024,64342.97
8127,1980,10178.73
8127,1981,10799.1
8127,1982,11805.42
8127,1983,12926
8127,1984,13630.97
8127,1985,14320.17
8127,1986,16236.2
8127,1987,16866.84
8127,1988,17498.61
8127,1989,18473.04
8127,1990,19427.02
8127,1991,19034.06
8127,1992,20438.65
8127,1993,21140.83
8127,1994,21575.99
8127,1995,22615.47
8127,1996,22352.12
8127,1997,21846.71
8127,1998,22694.08
8127,1999,24141.81
8127,2000,24448.11
8127,2001,24438.34
8127,2002,25310.54
8127,2003,24775.73
8127,2004,25596.66
8127,2005,27053.89
8127,2006,28420.14
8127,2007,30354.85
8127,2008,31431.99
8127,2009,31191.69
8127,2010,32835.81
8127,2011,33886
8127,2012,35124.33
8127,2013,35835.94
8127,2014,37176.76
8127,2015,38349.99
8127,2016,39167.72
8127,2017,40701.98
8127,2018,45708.51
8127,2019,46845.19
8127,2020,47620.44
8127,2021,50457.33
8127,2022,53787.48
8127,2023,56717.12
8127,2024,58743.96
8128,1980,12742.36
8128,1981,13231.62
8128,1982,14163.31
8128,1983,15180.67
8128,1984,15723.82
8128,1985,16169.18
8128,1986,17958.03
8128,1987,18358.8
8128,1988,18710.51
8128,1989,19374.09
8128,1990,19942.22
8128,1991,19240.41
8128,1992,20376.42
8128,1993,20773.64
8128,1994,20832.49
8128,1995,25872.09
8128,1996,26202
8128,1997,23196.33
8128,1998,23804.81
8128,1999,24655.66
8128,2000,25562.27
8128,2001,25170.88
8128,2002,25319.84
8128,2003,25709.17
8128,2004,26364.31
8128,2005,27472.56
8128,2006,28669.12
8128,2007,29435.33
8128,2008,30598.89
8128,2009,29414.24
8128,2010,32340.8
8128,2011,33784.38
8128,2012,34120.26
8128,2013,34083.33
8128,2014,34462.1
8128,2015,35831.91
8128,2016,35740.07
8128,2017,38403.54
8128,2018,39581.2
8128,2019,40915.16
8128,2020,40364.04
8128,2021,42768.8
8128,2022,45591.2
8128,2023,48074.38
8128,2024,49792.44
8135,1980,11922.25
8135,1981,12514.49
8135,1982,13614.32
8135,1983,14820.81
8135,1984,15542.9
8135,1985,16229.1
8135,1986,18238.04
8135,1987,18855.71
8135,1988,19421.09
8135,1989,20430.81
8135,1990,21432.98
8135,1991,21001.47
8135,1992,22540.22
8135,1993,23343.09
8135,1994,23816.43
8135,1995,25768.79
8135,1996,25914.61
8135,1997,25827.43
8135,1998,26353.37
8135,1999,27024.79
8135,2000,27169.56
8135,2001,27583.68
8135,2002,26791.9
8135,2003,26374.31
8135,2004,27317.32
8135,2005,27567.71
8135,2006,29071.85
8135,2007,30415.1
8135,2008,30713.3
8135,2009,31570.69
8135,2010,31297.58
8135,2011,33034.02
8135,2012,33313.83
8135,2013,31277.82
8135,2014,31949.15
