county,year,hh_income_vgrdl
1001,2001,15142
1001,2002,15175
1001,2003,15497
1001,2004,15451
1001,2005,16214
1001,2006,16827
1001,2007,17521
1001,2008,17406
1001,2009,17339
1001,2010,17245
1001,2011,17554
1001,2012,17965
1001,2013,17976
1001,2014,17981
1001,2015,18223
1001,2016,18005
1001,2017,18493
1001,2018,18753
1001,2019,19384
1001,2020,19879
1002,2001,14832
1002,2002,14907
1002,2003,15294
1002,2004,15352
1002,2005,15769
1002,2006,15940
1002,2007,16322
1002,2008,16561
1002,2009,16670
1002,2010,16760
1002,2011,17057
1002,2012,17416
1002,2013,17894
1002,2014,17648
1002,2015,18060
1002,2016,18334
1002,2017,18810
1002,2018,19644
1002,2019,20216
1002,2020,20773
1003,2001,14976
1003,2002,15190
1003,2003,15889
1003,2004,16155
1003,2005,16537
1003,2006,16697
1003,2007,16921
1003,2008,17040
1003,2009,17042
1003,2010,17013
1003,2011,17353
1003,2012,17823
1003,2013,17925
1003,2014,18154
1003,2015,18951
1003,2016,18973
1003,2017,19907
1003,2018,20442
1003,2019,21164
1003,2020,21827
1004,2001,15485
1004,2002,15214
1004,2003,15322
1004,2004,15030
1004,2005,15437
1004,2006,15697
1004,2007,16022
1004,2008,16140
1004,2009,16193
1004,2010,16135
1004,2011,16498
1004,2012,17038
1004,2013,17392
1004,2014,17929
1004,2015,18055
1004,2016,18673
1004,2017,18739
1004,2018,19898
1004,2019,20133
1004,2020,20626
1051,2001,14650
1051,2002,14685
1051,2003,15281
1051,2004,15775
1051,2005,16070
1051,2006,16290
1051,2007,16738
1051,2008,17249
1051,2009,17277
1051,2010,17606
1051,2011,18355
1051,2012,18944
1051,2013,19465
1051,2014,20064
1051,2015,20877
1051,2016,21301
1051,2017,22630
1051,2018,23079
1051,2019,24015
1051,2020,24228
1053,2001,17438
1053,2002,17312
1053,2003,17716
1053,2004,17895
1053,2005,18359
1053,2006,18529
1053,2007,18898
1053,2008,19360
1053,2009,19678
1053,2010,19919
1053,2011,20619
1053,2012,21302
1053,2013,21189
1053,2014,21503
1053,2015,22033
1053,2016,22508
1053,2017,26394
1053,2018,24067
1053,2019,24577
1053,2020,24962
1054,2001,15157
1054,2002,15063
1054,2003,15698
1054,2004,15986
1054,2005,16684
1054,2006,17319
1054,2007,18006
1054,2008,18753
1054,2009,18925
1054,2010,19313
1054,2011,20192
1054,2012,20723
1054,2013,21586
1054,2014,22587
1054,2015,23458
1054,2016,23943
1054,2017,25422
1054,2018,26171
1054,2019,27412
1054,2020,27187
1055,2001,15887
1055,2002,15961
1055,2003,16752
1055,2004,17107
1055,2005,17412
1055,2006,17493
1055,2007,17744
1055,2008,18185
1055,2009,18437
1055,2010,18743
1055,2011,19450
1055,2012,20104
1055,2013,20269
1055,2014,20827
1055,2015,21239
1055,2016,21776
1055,2017,22825
1055,2018,23700
1055,2019,24767
1055,2020,25105
1056,2001,18834
1056,2002,18626
1056,2003,19187
1056,2004,19190
1056,2005,19604
1056,2006,19697
1056,2007,19962
1056,2008,20462
1056,2009,20791
1056,2010,21103
1056,2011,21769
1056,2012,22396
1056,2013,22509
1056,2014,22568
1056,2015,23150
1056,2016,23569
1056,2017,24108
1056,2018,25021
1056,2019,25576
1056,2020,25915
1057,2001,15958
1057,2002,16033
1057,2003,16572
1057,2004,16823
1057,2005,17059
1057,2006,17138
1057,2007,17370
1057,2008,17887
1057,2009,18183
1057,2010,18613
1057,2011,19395
1057,2012,20117
1057,2013,20442
1057,2014,20846
1057,2015,21221
1057,2016,21974
1057,2017,22496
1057,2018,23475
1057,2019,24390
1057,2020,24783
1058,2001,16230
1058,2002,16175
1058,2003,16664
1058,2004,16852
1058,2005,17300
1058,2006,17547
1058,2007,17935
1058,2008,18400
1058,2009,18563
1058,2010,18928
1058,2011,19737
1058,2012,20488
1058,2013,20856
1058,2014,21493
1058,2015,21986
1058,2016,22187
1058,2017,23047
1058,2018,26823
1058,2019,24968
1058,2020,25237
1059,2001,14942
1059,2002,14967
1059,2003,15619
1059,2004,15981
1059,2005,16470
1059,2006,16903
1059,2007,17430
1059,2008,17729
1059,2009,17687
1059,2010,17846
1059,2011,18608
1059,2012,19251
1059,2013,19717
1059,2014,20152
1059,2015,21152
1059,2016,21478
1059,2017,22312
1059,2018,22843
1059,2019,23782
1059,2020,23934
1060,2001,17427
1060,2002,17198
1060,2003,17548
1060,2004,17568
1060,2005,18016
1060,2006,18173
1060,2007,18712
1060,2008,18961
1060,2009,19265
1060,2010,19428
1060,2011,20074
1060,2012,20706
1060,2013,21051
1060,2014,21472
1060,2015,21925
1060,2016,22300
1060,2017,22769
1060,2018,23497
1060,2019,24417
1060,2020,24804
1061,2001,15322
1061,2002,15304
1061,2003,15819
1061,2004,16083
1061,2005,16474
1061,2006,16721
1061,2007,17145
1061,2008,17648
1061,2009,17717
1061,2010,18078
1061,2011,18781
1061,2012,19463
1061,2013,19532
1061,2014,19776
1061,2015,19987
1061,2016,20682
1061,2017,21381
1061,2018,22093
1061,2019,23128
1061,2020,23570
1062,2001,19850
1062,2002,19822
1062,2003,20572
1062,2004,20727
1062,2005,21170
1062,2006,21240
1062,2007,21404
1062,2008,21585
1062,2009,21759
1062,2010,21842
1062,2011,22556
1062,2012,23239
1062,2013,23020
1062,2014,23262
1062,2015,23812
1062,2016,24300
1062,2017,24955
1062,2018,26000
1062,2019,26692
1062,2020,27005
2000,2001,19031
2000,2002,18808
2000,2003,20260
2000,2004,20000
2000,2005,21129
2000,2006,21484
2000,2007,21429
2000,2008,21429
2000,2009,20798
2000,2010,21404
2000,2011,22080
2000,2012,22299
2000,2013,22770
2000,2014,22563
2000,2015,23147
2000,2016,24205
2000,2017,24198
2000,2018,25091
2000,2019,25340
2000,2020,25682
3101,2001,16493
3101,2002,16725
3101,2003,17124
3101,2004,17235
3101,2005,17545
3101,2006,17869
3101,2007,18047
3101,2008,18348
3101,2009,18420
3101,2010,18611
3101,2011,19245
3101,2012,19731
3101,2013,19982
3101,2014,20320
3101,2015,20887
3101,2016,21160
3101,2017,21910
3101,2018,22824
3101,2019,23306
3101,2020,23749
3102,2001,15253
3102,2002,15326
3102,2003,15534
3102,2004,15628
3102,2005,15894
3102,2006,16109
3102,2007,16414
3102,2008,16887
3102,2009,17114
3102,2010,17510
3102,2011,18067
3102,2012,18553
3102,2013,18752
3102,2014,19122
3102,2015,19376
3102,2016,19249
3102,2017,19285
3102,2018,20040
3102,2019,20388
3102,2020,20915
3103,2001,17024
3103,2002,17448
3103,2003,17847
3103,2004,18157
3103,2005,18366
3103,2006,18476
3103,2007,18615
3103,2008,19032
3103,2009,19452
3103,2010,19973
3103,2011,21109
3103,2012,22045
3103,2013,22551
3103,2014,23040
3103,2015,23538
3103,2016,23293
3103,2017,23725
3103,2018,24482
3103,2019,25296
3103,2020,25884
3151,2001,15759
3151,2002,15749
3151,2003,16090
3151,2004,16234
3151,2005,16464
3151,2006,16793
3151,2007,17082
3151,2008,17626
3151,2009,18024
3151,2010,18653
3151,2011,19916
3151,2012,20916
3151,2013,21424
3151,2014,21969
3151,2015,22447
3151,2016,22544
3151,2017,22829
3151,2018,23826
3151,2019,24564
3151,2020,24972
3153,2001,15290
3153,2002,15438
3153,2003,15898
3153,2004,16070
3153,2005,16311
3153,2006,16597
3153,2007,16743
3153,2008,17144
3153,2009,17311
3153,2010,17604
3153,2011,18120
3153,2012,18548
3153,2013,18747
3153,2014,19079
3153,2015,19528
3153,2016,19880
3153,2017,20507
3153,2018,21400
3153,2019,21889
3153,2020,22321
3154,2001,16255
3154,2002,16295
3154,2003,16617
3154,2004,16732
3154,2005,16916
3154,2006,17140
3154,2007,17209
3154,2008,17866
3154,2009,18236
3154,2010,18802
3154,2011,19638
3154,2012,20390
3154,2013,20923
3154,2014,21551
3154,2015,21975
3154,2016,22111
3154,2017,22426
3154,2018,23318
3154,2019,24035
3154,2020,24466
3155,2001,15381
3155,2002,15384
3155,2003,15770
3155,2004,15790
3155,2005,16118
3155,2006,16527
3155,2007,16804
3155,2008,17279
3155,2009,17411
3155,2010,17793
3155,2011,18475
3155,2012,19054
3155,2013,19383
3155,2014,19910
3155,2015,20435
3155,2016,20846
3155,2017,21474
3155,2018,22498
3155,2019,23006
3155,2020,23389
3157,2001,15849
3157,2002,15862
3157,2003,16120
3157,2004,16226
3157,2005,16406
3157,2006,16680
3157,2007,16870
3157,2008,17355
3157,2009,17628
3157,2010,18050
3157,2011,18831
3157,2012,19474
3157,2013,19718
3157,2014,20213
3157,2015,20537
3157,2016,20990
3157,2017,21550
3157,2018,22451
3157,2019,23076
3157,2020,23368
3158,2001,15677
3158,2002,15578
3158,2003,15838
3158,2004,15912
3158,2005,16223
3158,2006,16583
3158,2007,16849
3158,2008,17388
3158,2009,17602
3158,2010,18123
3158,2011,18994
3158,2012,19677
3158,2013,20025
3158,2014,20465
3158,2015,20897
3158,2016,21162
3158,2017,21736
3158,2018,22758
3158,2019,23319
3158,2020,23848
3159,2001,NA
3159,2002,NA
3159,2003,NA
3159,2004,NA
3159,2005,NA
3159,2006,NA
3159,2007,NA
3159,2008,NA
3159,2009,NA
3159,2010,NA
3159,2011,NA
3159,2012,NA
3159,2013,NA
3159,2014,NA
3159,2015,NA
3159,2016,19877
3159,2017,20462
3159,2018,21264
3159,2019,21673
3159,2020,22160
3241,2001,16586
3241,2002,16514
3241,2003,16732
3241,2004,16701
3241,2005,17169
3241,2006,17621
3241,2007,17912
3241,2008,18257
3241,2009,18376
3241,2010,18669
3241,2011,19211
3241,2012,19616
3241,2013,19651
3241,2014,20032
3241,2015,20363
3241,2016,20733
3241,2017,21192
3241,2018,21967
3241,2019,22325
3241,2020,22785
3251,2001,16491
3251,2002,16263
3251,2003,16742
3251,2004,16970
3251,2005,17322
3251,2006,17673
3251,2007,17853
3251,2008,18429
3251,2009,18546
3251,2010,19052
3251,2011,19954
3251,2012,20472
3251,2013,20834
3251,2014,21517
3251,2015,21811
3251,2016,22254
3251,2017,23090
3251,2018,23959
3251,2019,24495
3251,2020,24516
3252,2001,15875
3252,2002,15803
3252,2003,16113
3252,2004,16127
3252,2005,16459
3252,2006,16878
3252,2007,17136
3252,2008,17618
3252,2009,17787
3252,2010,18212
3252,2011,18906
3252,2012,19497
3252,2013,19674
3252,2014,19950
3252,2015,20318
3252,2016,20843
3252,2017,21559
3252,2018,22334
3252,2019,22691
3252,2020,23097
3254,2001,15841
3254,2002,15804
3254,2003,16116
3254,2004,16161
3254,2005,16412
3254,2006,16720
3254,2007,16871
3254,2008,17270
3254,2009,17429
3254,2010,17763
3254,2011,18355
3254,2012,18858
3254,2013,18964
3254,2014,19473
3254,2015,19846
3254,2016,20392
3254,2017,20854
3254,2018,21611
3254,2019,22177
3254,2020,22603
3255,2001,15568
3255,2002,15386
3255,2003,15600
3255,2004,15513
3255,2005,15891
3255,2006,16284
3255,2007,16492
3255,2008,17045
3255,2009,17262
3255,2010,17671
3255,2011,18275
3255,2012,18783
3255,2013,18886
3255,2014,19239
3255,2015,19772
3255,2016,20061
3255,2017,20535
3255,2018,21448
3255,2019,22013
3255,2020,22406
3256,2001,14988
3256,2002,14844
3256,2003,15281
3256,2004,15460
3256,2005,15658
3256,2006,15962
3256,2007,16135
3256,2008,16685
3256,2009,16861
3256,2010,17366
3256,2011,18101
3256,2012,18563
3256,2013,19046
3256,2014,19423
3256,2015,19839
3256,2016,20057
3256,2017,20835
3256,2018,21324
3256,2019,22123
3256,2020,22337
3257,2001,16294
3257,2002,16094
3257,2003,16438
3257,2004,16296
3257,2005,16619
3257,2006,16902
3257,2007,17013
3257,2008,17483
3257,2009,17741
3257,2010,18084
3257,2011,18764
3257,2012,19348
3257,2013,19638
3257,2014,20062
3257,2015,20356
3257,2016,20825
3257,2017,21423
3257,2018,22409
3257,2019,22827
3257,2020,23118
3351,2001,15171
3351,2002,14522
3351,2003,14235
3351,2004,13943
3351,2005,14462
3351,2006,15261
3351,2007,16318
3351,2008,16773
3351,2009,16930
3351,2010,17267
3351,2011,17933
3351,2012,18459
3351,2013,18804
3351,2014,19189
3351,2015,19415
3351,2016,19981
3351,2017,20372
3351,2018,21101
3351,2019,21812
3351,2020,22096
3352,2001,15028
3352,2002,14822
3352,2003,15188
3352,2004,15329
3352,2005,15784
3352,2006,16321
3352,2007,16704
3352,2008,17313
3352,2009,17462
3352,2010,17973
3352,2011,18715
3352,2012,19164
3352,2013,19456
3352,2014,19900
3352,2015,20245
3352,2016,20829
3352,2017,21954
3352,2018,22255
3352,2019,22819
3352,2020,23038
3353,2001,19023
3353,2002,19095
3353,2003,19892
3353,2004,20112
3353,2005,20631
3353,2006,20994
3353,2007,20996
3353,2008,21333
3353,2009,21564
3353,2010,21797
3353,2011,22337
3353,2012,22738
3353,2013,23159
3353,2014,23476
3353,2015,23852
3353,2016,24324
3353,2017,25051
3353,2018,26113
3353,2019,26483
3353,2020,26595
3354,2001,14088
3354,2002,14092
3354,2003,14553
3354,2004,14832
3354,2005,15188
3354,2006,15657
3354,2007,15976
3354,2008,16473
3354,2009,16302
3354,2010,16677
3354,2011,17471
3354,2012,17909
3354,2013,18282
3354,2014,18724
3354,2015,18938
3354,2016,19285
3354,2017,20380
3354,2018,21252
3354,2019,21792
3354,2020,22084
3355,2001,15157
3355,2002,15170
3355,2003,15584
3355,2004,15695
3355,2005,15969
3355,2006,16267
3355,2007,16395
3355,2008,16901
3355,2009,17152
3355,2010,17626
3355,2011,18136
3355,2012,18488
3355,2013,18713
3355,2014,19536
3355,2015,19495
3355,2016,20206
3355,2017,20932
3355,2018,21617
3355,2019,22041
3355,2020,22307
3356,2001,16421
3356,2002,16305
3356,2003,16723
3356,2004,16717
3356,2005,17077
3356,2006,17551
3356,2007,17736
3356,2008,18104
3356,2009,18285
3356,2010,18724
3356,2011,19344
3356,2012,19783
3356,2013,20228
3356,2014,20672
3356,2015,21011
3356,2016,21700
3356,2017,22600
3356,2018,23487
3356,2019,24082
3356,2020,24269
3357,2001,15303
3357,2002,15043
3357,2003,15399
3357,2004,15590
3357,2005,16095
3357,2006,16605
3357,2007,16931
3357,2008,17415
3357,2009,17494
3357,2010,17927
3357,2011,18873
3357,2012,19525
3357,2013,20050
3357,2014,20445
3357,2015,20848
3357,2016,21338
3357,2017,22246
3357,2018,23172
3357,2019,23845
3357,2020,23824
3358,2001,15032
3358,2002,14995
3358,2003,15390
3358,2004,15493
3358,2005,15744
3358,2006,16115
3358,2007,16294
3358,2008,16766
3358,2009,16947
3358,2010,17397
3358,2011,18109
3358,2012,18632
3358,2013,18984
3358,2014,19419
3358,2015,19590
3358,2016,20027
3358,2017,20786
3358,2018,21586
3358,2019,21926
3358,2020,22157
3359,2001,16571
3359,2002,16452
3359,2003,16849
3359,2004,16990
3359,2005,17437
3359,2006,17887
3359,2007,18156
3359,2008,18568
3359,2009,18669
3359,2010,19134
3359,2011,19764
3359,2012,20128
3359,2013,20521
3359,2014,20964
