county,year,Arbeitslosenquote_inkar
1001,1998,14.6
1001,1999,13
1001,2000,11.84
1001,2001,12.12
1001,2002,12.09
1001,2003,13.68
1001,2004,14.02
1001,2005,18.28
1001,2006,15.39
1001,2007,12.5
1001,2008,11.46
1001,2009,12.94
1001,2010,12.7
1001,2011,11.89
1001,2012,11.34
1001,2013,11.1
1001,2014,10.55
1001,2015,9.96
1001,2016,9.03
1001,2017,8.95
1001,2018,8.31
1001,2019,7.96
1001,2020,9.06
1001,1995,
1001,1996,
1001,1997,
1002,1998,13.9
1002,1999,12.88
1002,2000,11.31
1002,2001,11.12
1002,2002,11.69
1002,2003,13.42
1002,2004,13.61
1002,2005,16.9
1002,2006,14.73
1002,2007,12.63
1002,2008,11.39
1002,2009,10.9
1002,2010,10.75
1002,2011,11.06
1002,2012,10.12
1002,2013,10.2
1002,2014,10.08
1002,2015,9.87
1002,2016,9.66
1002,2017,9.08
1002,2018,8.18
1002,2019,7.59
1002,2020,8.48
1002,1995,
1002,1996,
1002,1997,
1003,1998,13.41
1003,1999,13.42
1003,2000,12.6
1003,2001,12.26
1003,2002,12.62
1003,2003,13.68
1003,2004,13.98
1003,2005,18.31
1003,2006,15.23
1003,2007,13.12
1003,2008,12.22
1003,2009,12.29
1003,2010,11.17
1003,2011,11.01
1003,2012,10.42
1003,2013,10.4
1003,2014,10.13
1003,2015,9.9
1003,2016,9.07
1003,2017,8.6
1003,2018,7.78
1003,2019,7.28
1003,2020,8.14
1003,1995,
1003,1996,
1003,1997,
1004,1998,13.45
1004,1999,13.39
1004,2000,12.2
1004,2001,11.79
1004,2002,12.07
1004,2003,13.4
1004,2004,13.52
1004,2005,15.65
1004,2006,14.36
1004,2007,11.63
1004,2008,11
1004,2009,11.33
1004,2010,11.47
1004,2011,11.23
1004,2012,11.03
1004,2013,11.1
1004,2014,10.92
1004,2015,10.23
1004,2016,9.56
1004,2017,9.21
1004,2018,8.34
1004,2019,7.9
1004,2020,8.92
1004,1995,
1004,1996,
1004,1997,
1051,1998,10.7
1051,1999,10.02
1051,2000,8.99
1051,2001,9.25
1051,2002,9.2
1051,2003,10.5
1051,2004,11.14
1051,2005,13.74
1051,2006,11.78
1051,2007,10.01
1051,2008,9.66
1051,2009,9.64
1051,2010,8.48
1051,2011,8.45
1051,2012,8.04
1051,2013,7.6
1051,2014,7.38
1051,2015,7.34
1051,2016,7.19
1051,2017,6.83
1051,2018,6.27
1051,2019,5.49
1051,2020,6.09
1051,1995,
1051,1996,
1051,1997,
1053,1998,8.32
1053,1999,8
1053,2000,7.54
1053,2001,7.7
1053,2002,7.74
1053,2003,8.6
1053,2004,8.86
1053,2005,9.7
1053,2006,8.34
1053,2007,7.19
1053,2008,6.47
1053,2009,6.71
1053,2010,6.4
1053,2011,6.22
1053,2012,6.19
1053,2013,6.2
1053,2014,6.05
1053,2015,5.83
1053,2016,5.66
1053,2017,5.47
1053,2018,4.97
1053,2019,4.68
1053,2020,5.47
1053,1995,
1053,1996,
1053,1997,
1054,1998,9.19
1054,1999,8.13
1054,2000,7.4
1054,2001,7.66
1054,2002,7.91
1054,2003,9.1
1054,2004,9.22
1054,2005,10.12
1054,2006,9.96
1054,2007,8.47
1054,2008,7.94
1054,2009,7.87
1054,2010,7.45
1054,2011,7.53
1054,2012,6.96
1054,2013,6.6
1054,2014,6.37
1054,2015,5.96
1054,2016,6.12
1054,2017,6.14
1054,2018,5.3
1054,2019,4.77
1054,2020,5.3
1054,1995,
1054,1996,
1054,1997,
1055,1998,10.21
1055,1999,9.57
1055,2000,9.03
1055,2001,8.71
1055,2002,8.61
1055,2003,9.57
1055,2004,9.64
1055,2005,11.29
1055,2006,9.75
1055,2007,8.78
1055,2008,7.96
1055,2009,8
1055,2010,7.36
1055,2011,6.98
1055,2012,6.54
1055,2013,6.5
1055,2014,6.4
1055,2015,6.13
1055,2016,5.85
1055,2017,5.58
1055,2018,5.14
1055,2019,4.98
1055,2020,5.46
1055,1995,
1055,1996,
1055,1997,
1056,1998,8.42
1056,1999,8.23
1056,2000,7.68
1056,2001,7.45
1056,2002,7.93
1056,2003,8.77
1056,2004,8.66
