county,year,Schulabgänger_mit_allgemeiner_Hochschulreife_inkar,Ausländeranteil_inkar
1001,1995,32.79,7.76
1001,1996,30.4,8.33
1001,1997,32.42,10.23
1001,1998,28.48,8.45
1001,1999,32.88,8.65
1001,2000,33.91,8.32
1001,2001,30.59,8.24
1001,2002,31.77,8.17
1001,2003,31.04,8.14
1001,2004,32.74,8.21
1001,2005,35.79,8.23
1001,2006,33.81,8.15
1001,2007,36.11,8.05
1001,2008,38.46,8.18
1001,2009,41.8,7.83
1001,2010,42.76,7.72
1001,2011,45.06,6.29
1001,2012,42.28,6.52
1001,2013,42.51,7.02
1001,2014,40.97,7.92
1001,2015,44.16,9.68
1001,2016,59.3,11.72
1001,2017,47.4,13.27
1001,2018,42.96,14.19
1001,2019,45.48,15.21
1001,2020,43.82,15.79
1001,2021,,
1002,1995,30.26,8.32
1002,1996,29.8,8.51
1002,1997,31.39,8.24
1002,1998,28.39,9.25
1002,1999,29.87,9.47
1002,2000,30.87,9.42
1002,2001,32.79,9.73
1002,2002,31.75,9.62
1002,2003,30.95,9.55
1002,2004,28.75,9.29
1002,2005,30.97,9.35
1002,2006,30.01,9.23
1002,2007,31.44,9.21
1002,2008,36.66,8.9
1002,2009,36.13,8.74
1002,2010,38.88,8.71
1002,2011,39.18,7.23
1002,2012,38.55,7.57
1002,2013,41.45,8.06
1002,2014,41.71,8.68
1002,2015,44.86,9.84
1002,2016,54.35,10.73
1002,2017,46.46,11.26
1002,2018,45.64,11.54
1002,2019,43.07,11.99
1002,2020,43.26,12.15
1002,2021,,
1003,1995,24.88,8.41
1003,1996,22.14,8.75
1003,1997,21.6,8.79
1003,1998,20.75,9.14
1003,1999,24.04,9.12
1003,2000,23.41,9.11
1003,2001,24.78,9.04
1003,2002,21.33,8.93
1003,2003,23.47,8.78
1003,2004,22.94,8.47
1003,2005,22.85,8.48
1003,2006,23.56,8.1
1003,2007,24.53,7.99
1003,2008,27.02,7.62
1003,2009,27.66,6.99
1003,2010,29.72,6.94
1003,2011,28.92,6.37
1003,2012,31.2,6.59
1003,2013,30.67,7.07
1003,2014,33.35,7.59
1003,2015,33.99,8.45
1003,2016,48.31,9.18
1003,2017,36.81,9.67
1003,2018,39.73,10.12
1003,2019,38.23,10.62
1003,2020,38.9,10.84
1003,2021,,
1004,1995,28.26,6.95
1004,1996,27.73,7.15
1004,1997,25.83,7.47
1004,1998,25.41,7.46
1004,1999,26.88,7.63
1004,2000,28.86,7.36
1004,2001,27.16,7.17
1004,2002,28.16,7.04
1004,2003,24.04,7.07
1004,2004,23.97,6.96
1004,2005,25.09,6.87
1004,2006,27.65,6.98
1004,2007,31.17,6.82
1004,2008,31.21,6.24
1004,2009,35.84,6.21
1004,2010,35.07,6.17
1004,2011,36.68,6.1
1004,2012,37.05,5.87
1004,2013,36.71,6.08
1004,2014,44.01,7.06
1004,2015,43.71,9.36
1004,2016,52.61,10.67
1004,2017,44.51,11.01
1004,2018,44.58,11.59
1004,2019,46.01,12.74
1004,2020,47.69,13.17
1004,2021,,
1051,1995,18.23,2.51
1051,1996,18.33,2.69
1051,1997,18.31,2.54
1051,1998,15.97,2.75
1051,1999,16.8,2.88
1051,2000,17.8,2.92
1051,2001,17.39,2.87
1051,2002,15.97,2.93
1051,2003,15.99,2.97
1051,2004,17.34,3.05
1051,2005,14.99,3.11
1051,2006,16.23,3.14
1051,2007,19.62,3.22
1051,2008,20.4,3.23
1051,2009,20.89,3.33
1051,2010,24.36,3.42
1051,2011,21.55,2.47
1051,2012,23.66,2.72
1051,2013,22.86,3.02
1051,2014,24.76,3.51
1051,2015,25.85,4.26
1051,2016,43.56,5.23
1051,2017,30.01,5.56
1051,2018,26.06,5.7
1051,2019,27.27,5.96
1051,2020,25.34,6.15
1051,2021,,
1053,1995,17.82,5.1
1053,1996,17.09,5.2
1053,1997,16.32,4.76
1053,1998,16.2,5.2
1053,1999,15.56,5.31
1053,2000,16.72,5.24
1053,2001,16.73,5.18
1053,2002,15.48,5.14
1053,2003,16.51,5.12
1053,2004,15.83,5.09
1053,2005,16.47,5.1
1053,2006,18.57,5.06
1053,2007,18.53,4.99
1053,2008,20.71,4.92
1053,2009,19.97,4.84
1053,2010,26.75,4.85
1053,2011,23.19,4.16
1053,2012,24.85,4.45
1053,2013,28.03,4.79
1053,2014,23.87,5.24
1053,2015,31.05,6.2
1053,2016,42.62,7.07
1053,2017,33.6,7.5
1053,2018,33.33,7.81
1053,2019,34.27,8.21
1053,2020,33.16,8.54
1053,2021,,
1054,1995,13.58,3.75
1054,1996,16.29,3.93
1054,1997,14.77,3.45
1054,1998,14.35,4.14
1054,1999,14.41,4.21
1054,2000,15.05,4.26
1054,2001,13.74,4.29
1054,2002,14.35,4.24
1054,2003,15.38,4.23
1054,2004,13.48,4.19
1054,2005,15.1,4.2
1054,2006,16.32,4.2
1054,2007,15.03,4.23
1054,2008,18.59,4.14
1054,2009,18.25,4.1
1054,2010,22.6,4.25
1054,2011,20.63,3.22
1054,2012,21.61,3.45
1054,2013,22.33,3.84
1054,2014,22.35,4.31
1054,2015,22.25,5.7
1054,2016,36.67,6.52
1054,2017,26.25,6.85
1054,2018,21.01,7.03
1054,2019,26.45,7.31
1054,2020,28.07,7.48
1054,2021,,
1055,1995,20.34,3.67
1055,1996,15.67,3.81
1055,1997,19.08,3.51
1055,1998,16.92,3.86
1055,1999,16.27,3.94
1055,2000,19.71,3.98
1055,2001,17.88,4.07
1055,2002,16.2,4.09
1055,2003,17.52,4.02
1055,2004,17.97,3.97
1055,2005,16.74,4.06
1055,2006,17.62,3.99
1055,2007,19.42,3.96
1055,2008,22.94,3.96
1055,2009,20.31,3.99
1055,2010,28.15,3.84
1055,2011,26.23,2.72
1055,2012,23.13,3.04
1055,2013,26.77,3.24
1055,2014,26.53,3.6
1055,2015,27.87,4.36
1055,2016,38.92,5.27
1055,2017,30.75,5.47
1055,2018,24.58,5.7
1055,2019,29.4,5.83
1055,2020,29.38,5.98
1055,2021,,
1056,1995,28.24,6.71
1056,1996,28.08,6.93
1056,1997,28.56,7.39
1056,1998,26.07,7.12
1056,1999,26.18,7.08
1056,2000,26.13,7.02
1056,2001,25.91,7.09
1056,2002,25.64,7.15
1056,2003,27.44,7.2
1056,2004,25.64,7.17
1056,2005,25.93,7.22
1056,2006,25.92,7.27
1056,2007,26.22,7.32
1056,2008,28.86,7.12
1056,2009,33.31,7.03
1056,2010,36.36,7.06
1056,2011,33.99,6.45
1056,2012,36.27,6.71
1056,2013,34.98,7.09
1056,2014,37.8,7.63
1056,2015,39.13,8.43
1056,2016,48.08,9.5
1056,2017,39.81,10.09
1056,2018,39.51,10.61
1056,2019,38.21,11.12
1056,2020,38.49,11.41
1056,2021,,
1057,1995,24.34,2.64
1057,1996,21.14,2.67
1057,1997,22.57,2.38
1057,1998,21.99,2.78
1057,1999,20.47,2.88
1057,2000,18.97,2.94
1057,2001,17.24,2.88
