county,year,unemployed_regstat
1001,2001,5045
1001,2002,5061
1001,2003,5678
1001,2004,5768
1001,2005,7521
1001,2006,6439
1001,2007,5313
1001,2008,4948
1001,2009,5530
1001,2010,5491
1001,2011,5151
1001,2012,5127
1001,2013,5205
1001,2014,5087
1001,2015,4870
1001,2016,4495
1001,2017,4512
1001,2018,4304
1001,2019,4174
1001,2020,4722
1002,2001,12963
1002,2002,13702
1002,2003,15750
1002,2004,15980
1002,2005,19807
1002,2006,17493
1002,2007,15262
1002,2008,13993
1002,2009,13358
1002,2010,13312
1002,2011,13694
1002,2012,12732
1002,2013,13070
1002,2014,13109
1002,2015,13022
1002,2016,12867
1002,2017,12345
1002,2018,11331
1002,2019,10556
1002,2020,11776
1003,2001,12732
1003,2002,13053
1003,2003,14085
1003,2004,14323
1003,2005,18589
1003,2006,15655
1003,2007,13609
1003,2008,12785
1003,2009,12829
1003,2010,11739
1003,2011,11548
1003,2012,11009
1003,2013,11109
1003,2014,10992
1003,2015,10858
1003,2016,10078
1003,2017,9692
1003,2018,8907
1003,2019,8400
1003,2020,9404
1004,2001,4808
1004,2002,4916
1004,2003,5397
1004,2004,5386
1004,2005,6179
1004,2006,5627
1004,2007,4612
1004,2008,4411
1004,2009,4470
1004,2010,4555
1004,2011,4454
1004,2012,4376
1004,2013,4458
1004,2014,4430
1004,2015,4201
1004,2016,3957
1004,2017,3836
1004,2018,3532
1004,2019,3386
1004,2020,3846
1051,2001,5948
1051,2002,6005
1051,2003,6837
1051,2004,7206
1051,2005,8858
1051,2006,7746
1051,2007,6531
1051,2008,6249
1051,2009,6189
1051,2010,5494
1051,2011,5467
1051,2012,5217
1051,2013,5003
1051,2014,4881
1051,2015,4890
1051,2016,4822
1051,2017,4628
1051,2018,4312
1051,2019,3815
1051,2020,4261
1053,2001,6848
1053,2002,7065
1053,2003,7906
1053,2004,8177
1053,2005,9023
1053,2006,7844
1053,2007,6829
1053,2008,6197
1053,2009,6475
1053,2010,6227
1053,2011,6059
1053,2012,6059
1053,2013,6191
1053,2014,6084
1053,2015,5924
1053,2016,5780
1053,2017,5593
1053,2018,5148
1053,2019,4918
1053,2020,5785
1054,2001,6055
1054,2002,6369
1054,2003,7383
1054,2004,7476
1054,2005,8258
1054,2006,8278
1054,2007,6872
1054,2008,6285
1054,2009,6238
1054,2010,5998
1054,2011,6069
1054,2012,5951
1054,2013,5868
1054,2014,5686
1054,2015,5394
1054,2016,5590
1054,2017,5654
1054,2018,4962
1054,2019,4501
1054,2020,4970
1055,2001,8456
1055,2002,8461
1055,2003,9471
1055,2004,9573
1055,2005,11232
1055,2006,9837
1055,2007,8722
1055,2008,7780
1055,2009,7798
1055,2010,7223
1055,2011,6845
1055,2012,6439
1055,2013,6489
1055,2014,6440
1055,2015,6225
1055,2016,5983
1055,2017,5747
1055,2018,5356
1055,2019,5257
1055,2020,5788
1056,2001,11287
1056,2002,12271
1056,2003,13709
1056,2004,13506
1056,2005,15722
1056,2006,12835
1056,2007,10610
1056,2008,9319
1056,2009,9654
1056,2010,9621
1056,2011,8970
1056,2012,8721
1056,2013,8815
1056,2014,9008
1056,2015,8677
1056,2016,8754
1056,2017,8595
1056,2018,8049
1056,2019,7943
1056,2020,9486
1057,2001,4572
1057,2002,4788
1057,2003,5583
1057,2004,5770
1057,2005,6166
1057,2006,5657
1057,2007,4788
1057,2008,4417
1057,2009,4307
1057,2010,4024
1057,2011,3910
1057,2012,3613
1057,2013,3582
1057,2014,3649
1057,2015,3573
1057,2016,3488
1057,2017,3268
1057,2018,2928
1057,2019,2677
1057,2020,3149
1058,2001,9666
1058,2002,9795
1058,2003,10661
1058,2004,10431
1058,2005,12711
1058,2006,9975
1058,2007,8514
1058,2008,7431
1058,2009,8104
1058,2010,8031
1058,2011,7547
1058,2012,7357
1058,2013,7687
1058,2014,7548
1058,2015,7215
1058,2016,6762
1058,2017,6770
1058,2018,6082
1058,2019,5597
1058,2020,6378
1059,2001,6989
1059,2002,7234
1059,2003,8036
1059,2004,8155
1059,2005,9519
1059,2006,9083
1059,2007,8939
1059,2008,7875
1059,2009,8402
1059,2010,8436
1059,2011,8026
1059,2012,7865
1059,2013,7878
1059,2014,7516
1059,2015,6889
1059,2016,6441
1059,2017,6238
1059,2018,5628
1059,2019,4617
1059,2020,5694
1060,2001,8649
1060,2002,9551
1060,2003,10790
1060,2004,10643
1060,2005,11280
1060,2006,10116
1060,2007,8286
1060,2008,7009
1060,2009,7537
1060,2010,7474
1060,2011,6896
1060,2012,6716
1060,2013,7171
1060,2014,7197
1060,2015,6912
1060,2016,6987
1060,2017,6915
1060,2018,6449
1060,2019,6202
1060,2020,7694
1061,2001,5742
1061,2002,6244
1061,2003,7035
1061,2004,7432
1061,2005,7829
1061,2006,6653
1061,2007,5072
1061,2008,3962
1061,2009,4123
1061,2010,4285
1061,2011,4123
1061,2012,3983
1061,2013,4156
1061,2014,4323
1061,2015,4454
1061,2016,4414
1061,2017,4278
1061,2018,3957
1061,2019,3634
1061,2020,4179
1062,2001,6421
1062,2002,7107
1062,2003,7838
1062,2004,8036
1062,2005,8831
1062,2006,7545
1062,2007,5596
1062,2008,4849
1062,2009,5327
1062,2010,5246
1062,2011,4933
1062,2012,4882
1062,2013,5067
1062,2014,5008
1062,2015,4748
1062,2016,4559
1062,2017,4362
1062,2018,4107
1062,2019,4001
1062,2020,5008
2000,2001,70622
2000,2002,77450
2000,2003,86388
2000,2004,84325
2000,2005,98228
2000,2006,95988
2000,2007,81305
2000,2008,72958
2000,2009,78438
2000,2010,75472
2000,2011,72437
2000,2012,70435
2000,2013,71557
2000,2014,73663
2000,2015,73291
2000,2016,70666
2000,2017,69248
2000,2018,65589
2000,2019,64774
2000,2020,80677
3101,2001,13398
3101,2002,14008
3101,2003,14513
3101,2004,14374
3101,2005,16105
3101,2006,14633
3101,2007,12945
3101,2008,11383
3101,2009,11527
3101,2010,11105
3101,2011,10247
3101,2012,9566
3101,2013,9301
3101,2014,9174
3101,2015,8829
3101,2016,8348
3101,2017,8038
3101,2018,7389
3101,2019,6848
3101,2020,7563
3102,2001,6525
3102,2002,6309
3102,2003,6435
3102,2004,6407
3102,2005,7343
3102,2006,7141
3102,2007,5919
3102,2008,4977
3102,2009,5290
3102,2010,5080
3102,2011,4630
3102,2012,4403
3102,2013,4680
3102,2014,4763
3102,2015,4781
3102,2016,5439
3102,2017,5530
3102,2018,5012
3102,2019,4770
3102,2020,5399
3103,2001,5140
3103,2002,5033
3103,2003,4963
3103,2004,4916
3103,2005,6487
3103,2006,6254
3103,2007,5475
3103,2008,4309
3103,2009,4097
3103,2010,4071
3103,2011,3561
3103,2012,3225
3103,2013,3153
3103,2014,3136
3103,2015,3111
3103,2016,3349
3103,2017,3308
3103,2018,3216
3103,2019,3058
3103,2020,3504
3151,2001,7761
3151,2002,7938
3151,2003,8127
3151,2004,7837
3151,2005,9020
3151,2006,8697
3151,2007,7768
3151,2008,5957
3151,2009,5712
3151,2010,5781
3151,2011,5252
3151,2012,4816
3151,2013,4698
3151,2014,4507
3151,2015,4354
3151,2016,4426
3151,2017,4410
3151,2018,4182
3151,2019,3806
3151,2020,4279
3153,2001,8650
3153,2002,8414
3153,2003,8055
3153,2004,7629
3153,2005,9374
3153,2006,8694
3153,2007,7258
3153,2008,6657
3153,2009,6943
3153,2010,6624
3153,2011,6366
3153,2012,6128
3153,2013,5995
3153,2014,5863
3153,2015,5354
3153,2016,5178
3153,2017,4855
3153,2018,4384
3153,2019,4044
3153,2020,4756
3154,2001,5487
3154,2002,5396
3154,2003,5248
3154,2004,5022
3154,2005,5908
3154,2006,5812
3154,2007,5257
3154,2008,4351
3154,2009,4319
3154,2010,4146
3154,2011,3733
3154,2012,3484
3154,2013,3532
3154,2014,3439
3154,2015,3385
3154,2016,3307
3154,2017,3393
3154,2018,3094
3154,2019,2873
3154,2020,3096
3155,2001,8045
3155,2002,8306
3155,2003,8369
3155,2004,8127
3155,2005,8966
3155,2006,7997
3155,2007,6648
3155,2008,5808
3155,2009,6050
3155,2010,5397
3155,2011,5107
3155,2012,4936
3155,2013,5078
3155,2014,4814
3155,2015,4692
3155,2016,4322
3155,2017,4064
3155,2018,3803
3155,2019,3604
3155,2020,3977
3157,2001,5993
3157,2002,5962
3157,2003,5998
3157,2004,5975
3157,2005,7213
3157,2006,7016
3157,2007,6279
3157,2008,5450
3157,2009,5186
3157,2010,4878
3157,2011,4389
3157,2012,4113
3157,2013,4153
3157,2014,4182
3157,2015,3770
3157,2016,3904
3157,2017,3727
3157,2018,3425
3157,2019,3205
3157,2020,3796
3158,2001,5900
3158,2002,5750
3158,2003,5762
3158,2004,5760
3158,2005,6412
3158,2006,6080
3158,2007,4903
3158,2008,4209
3158,2009,4289
3158,2010,4425
3158,2011,4105
3158,2012,3841
3158,2013,3791
3158,2014,3684
3158,2015,3494
3158,2016,3432
3158,2017,3418
3158,2018,3093
3158,2019,2807
3158,2020,3127
3159,2001,19254
3159,2002,19513
3159,2003,19394
3159,2004,19138
3159,2005,22145
3159,2006,21221
3159,2007,19165
3159,2008,16313
3159,2009,15003
3159,2010,14069
3159,2011,12420
3159,2012,11045
3159,2013,11679
3159,2014,10968
3159,2015,10238
3159,2016,10098
3159,2017,9980
3159,2018,9737
3159,2019,9172
3159,2020,10568
3241,2001,54473
3241,2002,57690
3241,2003,60613
3241,2004,58614
3241,2005,79588
3241,2006,69257
3241,2007,57620
3241,2008,52474
3241,2009,53169
3241,2010,52220
3241,2011,49572
3241,2012,47531
3241,2013,48239
3241,2014,49287
3241,2015,47434
3241,2016,45750
3241,2017,43570
3241,2018,41077
3241,2019,40180
3241,2020,47396
3251,2001,6546
3251,2002,6955
3251,2003,7471
3251,2004,7716
3251,2005,9199
3251,2006,8046
3251,2007,6972
3251,2008,5773
3251,2009,5838
3251,2010,5545
3251,2011,5018
3251,2012,5043
3251,2013,5240
3251,2014,5266
3251,2015,5132
3251,2016,5133
3251,2017,4993
3251,2018,4740
3251,2019,4708
3251,2020,5607
3252,2001,8905
3252,2002,9291
3252,2003,9751
3252,2004,9526
3252,2005,11124
3252,2006,9654
3252,2007,8488
3252,2008,7209
3252,2009,6962
3252,2010,6772
3252,2011,6217
3252,2012,6075
3252,2013,6206
3252,2014,6006
3252,2015,5612
3252,2016,5466
3252,2017,5189
3252,2018,4805
3252,2019,4709
3252,2020,5261
3254,2001,12532
3254,2002,12545
3254,2003,12978
3254,2004,12614
3254,2005,16437
3254,2006,15896
3254,2007,12773
3254,2008,11568
3254,2009,12107
3254,2010,12331
3254,2011,11492
3254,2012,10768
3254,2013,10920
3254,2014,10700
3254,2015,10152
3254,2016,9609
3254,2017,9402
3254,2018,8898
3254,2019,8517
3254,2020,9614
3255,2001,3737
3255,2002,4063
3255,2003,4231
3255,2004,4338
3255,2005,5368
3255,2006,4646
3255,2007,3882
3255,2008,3220
3255,2009,3274
3255,2010,3306
3255,2011,2940
3255,2012,2916
3255,2013,2970
3255,2014,2766
3255,2015,2652
3255,2016,2552
3255,2017,2391
3255,2018,2320
